输入文本,生成问题,改写问题
"[['压缩机', '应当符合', '压缩机控制系统设置压力、温度显示与保护联动装置']]",压 缩 机 应 当 符 合 什 么 ？,请问压缩机应当符合哪些设置？
"[['压缩机', '应当符合', '压缩机前设置缓冲罐']]",压 缩 机 应 当 符 合 什 么 ？,请问压缩机应当符合什么条件？
"[['压缩机', '应当符合', '煤层气压缩机单排布置']]",压 缩 机 应 当 符 合 什 么 ？,请问压缩机应当符合什么标准？
"[['压缩机', '应当符合', '在高寒地区或者风沙地区压缩机组采用封闭式厂房，其他地区采用敞开式或者半敞开式厂房']]",压 缩 机 应 当 符 合 什 么 ？,请问压缩机的设计应当符合哪些条件？
"[['新安装或者检修投运压缩机系统装置前，煤层气企业', '应当', '对机泵、管线、容器、装置进行系统氮气置换']]",新 安 装 或 者 检 修 投 运 压 缩 机 系 统 装 置 前 ， 煤 层 气 企 业 应 当 做 什 么 ？,在安装或检修并准备投入使用压缩机系统装置之前，煤层气企业需要采取哪些安全措施？
"[['设置压缩机组的吸气、排气和泄气管线时', '应当', '避免管线的振动对建筑物造成有害影响']]",设 置 压 缩 机 组 的 吸 气 、 排 气 和 泄 气 管 线 时 应 当 注 意 什 么 ？,设置压缩机组的吸气、排气和泄气管线时，需要注意什么以避免对建筑物造成有害影响？
"[['设置压缩机组的吸气、排气和泄气管线时', '应当', '有防止空气进入吸气管线的措施']]",设 置 压 缩 机 组 的 吸 气 、 排 气 和 泄 气 管 线 时 应 当 注 意 什 么 ？,在安装压缩机组的吸气、排气和泄气管线时，需要注意哪些防止空气进入吸气管线的措施？
"[['必要时高压排出管线', '应当', '设单向阀']]",必 要 时 高 压 排 出 管 线 应 当 怎 么 做 ？,在必要时，高压排出管线应该如何处理？
"[['压缩机与站内其他建（构）筑物的防火间距', '应当符合', '《石油天然气工程设计防火规范》的规定']]",压 缩 机 与 站 内 其 他 建 （ 构 ） 筑 物 的 防 火 间 距 符 合 什 么 ？,请问压缩机与站内其他建（构）筑物的防火间距应当符合什么规定？
"[['压缩机组运行时', '应当符合', '压缩机级间设置安全阀，安全阀的泄放能力不得小于压缩机的安全泄放量']]",压 缩 机 组 运 行 时 应 当 符 合 什 么 ？,请问在运行时，压缩机组需要满足哪些安全条件？
"[['压缩机组运行时', '应当符合', '压缩机进、出口设置高、低压报警和停机装置，冷却系统设置温度报警及停车装置，润滑油系统设置低压报警及停机装置']]",压 缩 机 组 运 行 时 应 当 符 合 什 么 ？,在运行时，压缩机组需要满足哪些安全装置和报警系统的要求？
"[['压缩机气液处理', '应当符合', '压缩机的卸载排气不得对外放散']]",压 缩 机 气 液 处 理 应 当 符 合 什 么 ？,请问压缩机气液处理应当符合什么标准？
"[['压缩机气液处理', '应当符合', '回收气可以输送至压缩机进口缓冲罐']]",压 缩 机 气 液 处 理 应 当 符 合 什 么 ？,压缩机气液处理应当符合什么标准？
"[['压缩机气液处理', '应当符合', '对压缩机排出的冷凝液进行集中处理']]",压 缩 机 气 液 处 理 应 当 符 合 什 么 ？,压缩机气液处理应当符合什么标准？
"[['压缩煤层气储气设备', '应当符合', '储气瓶符合国家有关安全规定和标准']]",压 缩 煤 层 气 储 气 设 备 应 当 符 合 什 么 ？,压缩煤层气储气设备应当符合哪些国家安全规定和标准？
"[['压缩煤层气储气设备', '应当符合', '储气井的设计、建造和检验符合国家有关高压气地下储气井标准的规定']]",压 缩 煤 层 气 储 气 设 备 应 当 符 合 什 么 ？,压缩煤层气储气设备应当符合哪些规定？
"[['压缩煤层气储气设备', '应当符合', '储气瓶组或者储气井与站内汽车通道相邻一侧，设置安全防撞拦或者采取其他防撞设施']]",压 缩 煤 层 气 储 气 设 备 应 当 符 合 什 么 ？,压缩煤层气储气设备应当符合哪些安全标准？
"[['压缩煤层气储气设备', '应当符合', '储气瓶组（储气井）进气总管上设置安全阀及紧急放空管、压力表；每个储气瓶（井）出口设置截止阀']]",压 缩 煤 层 气 储 气 设 备 应 当 符 合 什 么 ？,压缩煤层气储气设备需要满足哪些安全要求？
"[['煤层气压力储罐（球罐、卧式罐）', '应当', '安装紧急放空、安全泄压设施及压力仪表']]",煤 层 气 压 力 储 罐 应 当 怎 么 做 ？,煤层气压力储罐（包括球罐和卧式罐）在安装时应该包括哪些安全设施和压力监测设备？
"[['煤层气储罐（柜）检修动火时', '应当', '经放空、清洗、强制通风，并检验气体中甲烷浓度（低于0.5%为合格）']]",煤 层 气 储 罐 （ 柜 ） 检 修 动 火 时 应 当 经 过 什 么 程 序 ？,煤层气储罐（柜）检修动火时，需要遵循哪些安全程序？
"[['煤层气企业', '应当', '对煤层气储罐定期检测']]",煤 层 气 企 业 应 当 怎 么 做 ？,煤层气企业应当如何对煤层气储罐进行定期检测？
"[['煤层气储罐区', '应当', '有明显的安全警示标志']]",请 问 煤 层 气 储 罐 区 应 当 做 什 么 ？,煤层气储罐区应当设置哪些安全警示标志？
"[['固定式储罐', '应当', '有喷淋水或者遮阳设施']]",请 问 固 定 式 储 罐 应 当 用 于 什 么 ？,请问固定式储罐应当配备哪些安全设施？
"[['固定式储罐', '应当', '有保温防冻措施']]",你 知 道 固 定 式 储 罐 应 当 做 什 么 吗 ？,请问固定式储罐应当采取哪些措施来保证其性能？
"[['压缩煤层气加气机', '不得', '设在室内']]",压 缩 煤 层 气 加 气 机 不 得 设 在 什 么 地 方 ？,请问压缩煤层气加气机不得设置在哪些地方？
"[['加气机附近', '应当', '设置防撞柱（栏）']]",加 气 机 附 近 应 当 设 置 什 么 ？,请问在加气机附近应该设置什么？
"[['寒冷地区', '应当', '选用适合当地环境温度条件的加气机']]",寒 冷 地 区 应 当 注 意 什 么 ？,在寒冷地区，我们应当注意什么？
"[['加气机的加气软管及软管接头', '应当', '选用具有抗腐蚀性能的材料']]",加 气 机 的 加 气 软 管 及 软 管 接 头 应 当 怎 么 做 ？,加气机的加气软管及软管接头应该选用什么材料？
"[['加气软管上', '应当', '设置拉断阀']]",请 问 加 气 软 管 上 应 当 做 什 么 ？,请问在加气软管上应该设置什么？
"[['拉断阀在外力作用下分开后，两端', '应当', '自行密封']]",拉 断 阀 在 外 力 作 用 下 分 开 后 ， 两 端 应 当 怎 么 做 ？,拉断阀在外力作用下分开后，两端应该如何自行密封？
"[['进站管线上', '应当', '设置紧急截断阀']]",进 站 管 线 上 应 当 怎 么 做 ？,进站管线上应该设置什么？
"[['手动紧急截断阀的位置', '应当', '便于发生事故时及时切断气源']]",你 知 道 手 动 紧 急 截 断 阀 的 位 置 是 什 么 吗 ？,请问手动紧急截断阀的位置应当在哪里，以便在发生事故时能够及时切断气源？
"[['储气瓶组（储气井）与加气枪之间', '应当', '设储气瓶组（储气井）截断阀、主截断阀、紧急截断阀和加气截断阀']]",请 问 储 气 瓶 组 （ 储 气 井 ） 与 加 气 枪 之 间 应 当 设 置 什 么 ？,在储气瓶组（储气井）与加气枪之间，应该设置哪些阀门？
"[['工艺安全及监控系统', '应当符合', '在站场压力设备和容器上设置安全阀']]",工 艺 安 全 及 监 控 系 统 应 当 符 合 什 么 ？,工艺安全及监控系统应当符合什么标准？
"[['工艺安全及监控系统', '应当符合', '当工艺管线、设备或者容器排污可能释放出大量气体时，将其引入分离设备，分出的气体引入气体放空系统，液体引入储罐或者处理系统']]",工 艺 安 全 及 监 控 系 统 应 当 符 合 什 么 ？,工艺安全及监控系统应当符合什么标准？
"[['工艺安全及监控系统', '应当符合', '每台压缩机有独立的温度和压力保护装置；（四）压缩站在管线进站截断阀上游和出站截断阀下游设置限压泄放设施']]",工 艺 安 全 及 监 控 系 统 应 当 符 合 什 么 ？,工艺安全及监控系统需要满足哪些具体要求？
"[['站场供电和电气安全', '应当符合', '站场的消防、通信、控制、仪表等使用不间断电源或者双回路供电，消防、控制、配电等重要场所设置应急照明']]",站 场 供 电 和 电 气 安 全 应 当 符 合 什 么 ？,站场的供电和电气安全应当符合哪些具体要求？
"[['站场供电和电气安全', '应当符合', '站场内管汇、阀组、压缩机等爆炸危险区域必须使用防爆电气设施，电气线路使用阻燃电缆，线路的敷设采取防爆安全措施']]",站 场 供 电 和 电 气 安 全 应 当 符 合 什 么 ？,站场供电和电气安全应当符合哪些具体要求？
"[['站场供电和电气安全', '应当符合', '配电室有防水、防鼠措施，安装挡鼠板，安全通道畅通，指示标志明显']]",站 场 供 电 和 电 气 安 全 应 当 符 合 什 么 ？,请问站场供电和电气安全应当符合哪些具体要求？
"[['压缩站的防爆', '应当符合', '压缩站按照防爆安全要求划分爆炸危险场所']]",压 缩 站 的 防 爆 符 合 什 么 ？,压缩站的防爆应当符合什么要求？
"[['压缩站的防爆', '应当符合', '使用防爆电气设备前，检查其产品合格证、产品安全标志及其安全性能，检查合格并签发合格证后方可使用']]",压 缩 站 的 防 爆 应 当 符 合 什 么 ？,压缩站的防爆应当符合什么标准？
"[['压缩站的防爆', '应当符合', '防爆电气设备安装、检查、保养、检修由具有专业资格的人员操作，并在机房、调配区设置“爆炸危险场所”标志牌']]",压 缩 站 的 防 爆 符 合 什 么 ？,压缩站的防爆应当符合什么标准？
"[['压缩站的防爆', '应当符合', '固定电气设备安装稳固，防止外力碰撞、损伤']]",压 缩 站 的 防 爆 符 合 什 么 ？,压缩站的防爆应当符合哪些标准？
"[['压缩站内电气设备', '应当符合', '整洁，部件齐全紧固，无松动、无损伤、无机械变形，场所清洁、无杂物和易燃物品']]",压 缩 站 内 电 气 设 备 应 当 符 合 什 么 ？,压缩站内电气设备应当符合哪些标准？
"[['压缩站内电气设备', '应当符合', '电缆进线装置密封可靠，空余接线孔封闭符合要求']]",压 缩 站 内 电 气 设 备 应 当 符 合 什 么 ？,压缩站内电气设备应当符合哪些标准？
"[['压缩站内电气设备', '应当符合', '设备保护、联锁、检测、报警、接地等装置齐全完整']]",压 缩 站 内 电 气 设 备 应 当 符 合 什 么 ？,压缩站内的电气设备需要满足哪些条件？
"[['压缩站内电气设备', '应当符合', '防爆灯具的防爆结构、保护罩保持完整']]",压 缩 站 内 电 气 设 备 应 当 符 合 什 么 ？,压缩站内的电气设备应当符合哪些标准？
"[['压缩站内电气设备', '应当符合', '接地端子接触良好，无松动、无折断、无腐蚀']]",压 缩 站 内 电 气 设 备 应 当 符 合 什 么 ？,压缩站内电气设备应当符合哪些标准？
"[['压缩站内电气设备', '应当符合', '应急照明设施符合防爆要求']]",压 缩 站 内 电 气 设 备 应 当 符 合 什 么 ？,压缩站内的电气设备应当符合什么标准？
"[['防爆电气设备检查检修时', '应当符合', '日常检查中严禁带电打开设备的密封盒、接线盒、进线装置、隔离密封盒等']]",防 爆 电 气 设 备 检 查 检 修 时 应 当 符 合 什 么 ？,防爆电气设备在检查和检修时，应该遵循哪些安全规定？
"[['防爆电气设备检查检修时', '应当符合', '禁止带电检修或者移动电气设备、线路、拆装防爆灯具和更换防爆灯泡、灯管']]",防 爆 电 气 设 备 检 查 检 修 时 应 当 符 合 什 么 ？,防爆电气设备在检查检修时，需要遵守哪些安全规定？
"[['防爆电气设备检查检修时', '应当符合', '断电处悬挂警告牌']]",防 爆 电 气 设 备 检 查 检 修 时 应 当 符 合 什 么 ？,防爆电气设备在检查和检修时，应该遵循哪些安全规定？
"[['防爆电气设备检查检修时', '应当符合', '禁止用水冲洗防爆电气设备']]",防 爆 电 气 设 备 检 查 检 修 时 应 当 符 合 什 么 ？,防爆电气设备在检查和检修时，应该遵循哪些安全规定？
"[['防爆电气设备检查检修时', '应当符合', '对检修现场的电源电缆线头进行防爆处理']]",防 爆 电 气 设 备 检 查 检 修 时 应 当 符 合 什 么 ？,防爆电气设备检查检修时，需要符合哪些标准？
"[['防爆电气设备检查检修时', '应当符合', '检修带有电容、电感、探测头等储能元件的防爆设备时，在按照规定放尽能量后方可作业']]",防 爆 电 气 设 备 检 查 检 修 时 应 当 符 合 什 么 ？,防爆电气设备检查检修时应当符合什么规定？
"[['防爆电气设备检查检修时', '应当符合', '检修过程中不得损伤防爆设备的隔爆面']]",防 爆 电 气 设 备 检 查 检 修 时 应 当 符 合 什 么 ？,防爆电气设备在检查和检修时，需要遵循哪些具体要求？
"[['防爆电气设备检查检修时', '应当符合', '紧固螺栓不得任意调换或者缺少']]",防 爆 电 气 设 备 检 查 检 修 时 应 当 符 合 什 么 ？,防爆电气设备在检查和检修时，需要遵循哪些紧固螺栓的规范？
"[['防爆电气设备检查检修时', '应当符合', '记录检修项目、内容、测试结果、零部件更换、缺陷处理等情况，并归档保存']]",防 爆 电 气 设 备 检 查 检 修 时 应 当 符 合 什 么 ？,防爆电气设备检查检修时应当符合哪些具体要求？
"[['操作压缩机时', '应当符合', '定时进行设备和仪表的日常巡检与维护，确保其完好']]",操 作 压 缩 机 时 应 当 符 合 什 么 ？,在操作压缩机时，我们需要遵循哪些规定来确保设备和仪表的日常巡检与维护，从而保证其正常运行？
"[['操作压缩机时', '应当符合', '定期校验安全阀、压力表，确保其准确性']]",操 作 压 缩 机 时 应 当 符 合 什 么 ？,在操作压缩机时，我们需要遵守哪些安全规定？
"[['操作压缩机时', '应当符合', '开机前检查注油器和机身的油量是否达到开机要求，电气设备是否完好，煤层气泄露监测系统自检有无问题，管线是否松动，阀门及法兰是否有漏气、漏水现象，阀门是否在正确位置，电机有无卡塞情况']]",操 作 压 缩 机 时 应 当 符 合 什 么 ？,操作压缩机时，我们需要注意哪些安全检查步骤？
"[['操作压缩机时', '应当符合', '操作时严格执行设备操作规程，注意高温管线，防止烫伤，防止超压、超温及机件损坏']]",操 作 压 缩 机 时 应 当 符 合 什 么 ？,在操作压缩机时，我们需要遵循哪些安全操作规程？
"[['操作压缩机时', '应当符合', '机器运转过程中随时检查气压、水压、电压、排气温度以及压缩机的振动强度，发现问题及时处理']]",操 作 压 缩 机 时 应 当 符 合 什 么 ？,在操作压缩机时，我们需要注意哪些事项？
"[['操作压缩机时', '应当符合', '压缩机运转过程中观察每一级的气体温度和循环水的温度']]",操 作 压 缩 机 时 应 当 符 合 什 么 ？,在操作压缩机时，我们需要注意哪些关键的观察点？
"[['操作压缩机时', '应当符合', '压缩机运转过程中按照规定排污，并密切注意末级排气压力；当压力达到一定值时，及时告知加气工；发生不正常的响声或者压力、温度超出允许范围时，立即停机检查，排除故障；出现紧急情况时，按照事故紧急处理预案进行处理']]",操 作 压 缩 机 时 应 当 符 合 什 么 ？,在操作压缩机时，我们需要遵循哪些安全与操作规程？
"[['清洗设备、器具时', '应当符合', '严禁使用汽油、苯等易燃品清洗设备、器具和地坪']]",清 洗 设 备 、 器 具 时 应 当 符 合 什 么 ？,清洗设备、器具时，应该遵守哪些规定？
"[['清洗设备、器具时', '应当符合', '严禁使用压缩气体清扫储存易燃油品油罐']]",清 洗 设 备 、 器 具 时 应 当 符 合 什 么 ？,清洗设备、器具时应当遵守哪些规定？
"[['清洗设备、器具时', '应当符合', '严禁使用化纤、塑料、丝绸等容易产生静电的制品擦拭物体及设备']]",清 洗 设 备 、 器 具 时 应 当 符 合 什 么 ？,清洗设备、器具时，应该遵循哪些规定？
"[['清洗设备、器具时', '应当符合', '清洗设备时，作业人员按照规定着装并消除人体静电']]",清 洗 设 备 、 器 具 时 应 当 符 合 什 么 ？,清洗设备、器具时应当符合什么规定？
"[['人员着装和防静电', '应当符合', '进入爆炸危险场所，穿着有劳动安全标志的防静电服、棉布工作服和防静电鞋']]",人 员 着 装 和 防 静 电 应 当 符 合 什 么 ？,请问进入爆炸危险场所时，人员着装和防静电应当符合哪些要求？
"[['人员着装和防静电', '应当符合', '进入爆炸危险场所前，预先触摸人体消静电球']]",人 员 着 装 和 防 静 电 应 当 符 合 什 么 ？,在进入爆炸危险场所之前，人员着装和防静电应该遵循哪些规定？
"[['人员着装和防静电', '应当符合', '严禁在爆炸危险场所穿衣、脱衣、拍打服装以及梳头、打闹等']]",人 员 着 装 和 防 静 电 应 当 符 合 什 么 ？,在爆炸危险场所，人员着装和防静电应当遵守哪些规定？
"[['人员着装和防静电', '应当符合', '爆炸危险场所的地坪不得涂刷绝缘油漆，或者铺设非导静电的材料']]",人 员 着 装 和 防 静 电 应 当 符 合 什 么 ？,人员在爆炸危险场所的着装和防静电措施需要遵循哪些规定？
"[['人员操作', '应当符合', '经过本工种专业安全培训，通过考试取得合格证后，持证上岗']]",人 员 操 作 应 当 符 合 什 么 ？,人员操作应当符合什么条件？
"[['人员操作', '应当符合', '掌握岗位应急预案的执行程序，遇到紧急情况，能够按照应急措施迅速作出处理']]",人 员 操 作 应 当 符 合 什 么 ？,人员操作应当符合什么标准？
"[['人员操作', '应当符合', '熟悉本岗位装置的工作原理、构造、性能、技术特征、零部件的名称和作用']]",人 员 操 作 应 当 符 合 什 么 ？,操作人员应当符合哪些要求？
"[['人员操作', '应当符合', '熟悉本岗位电气控制设备的操作方法和有关的电气基本知识']]",人 员 操 作 应 当 符 合 什 么 ？,人员操作应当符合哪些要求？
"[['人员操作', '应当符合', '按照规定穿好工作服，并佩戴有关劳动防护用品']]",人 员 操 作 应 当 符 合 什 么 ？,在进行人员操作时，应当符合哪些规定？
"[['人员操作', '应当符合', '排污时严禁操作人员将手伸向排污口']]",人 员 操 作 应 当 符 合 什 么 ？,在进行排污操作时，操作人员应该遵循哪些安全规范？
"[['人员操作', '应当符合', '排污时发现异常情况立即报告，由专业人员处理']]",人 员 操 作 应 当 符 合 什 么 ？,在操作过程中，人员应当遵循哪些规定？
