五元组信息,问题,生成的语句,查询结果
"{'start': '发电机', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['设备与工具']}",发电机应当属于什么设备与工具?,"MATCH (device:设备与工具 {name: '发电机'})-[:应当]->(other_device:设备与工具) RETURN device.name AS device_name, other_device.name AS other_device_name","[{'device_name': '发电机', 'other_device_name': '配备超载保护装置'}]"
"{'start': '电动机', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['设备与工具']}",电动机应当属于什么设备与工具?,"MATCH (device:设备与工具 {name: '电动机'})-[:应当]->(other_device:设备与工具) RETURN device.name AS device_name, other_device.name AS other_device_name","[{'device_name': '电动机', 'other_device_name': '配备短路、过载保护装置'}]"
"{'start': '井场油罐阀门', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['安全管理']}",井场油罐阀门应当属于什么安全管理?,"MATCH (device:设备与工具 {name: '井场油罐阀门'})-[:应当]->(safety:安全管理) RETURN device.name AS device_name, safety.name AS safety_name","[{'device_name': '井场油罐阀门', 'safety_name': '无渗漏，罐口封闭上锁，并有专人管理'}]"
"{'start': '柴油机排气管', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['环境与条件']}",柴油机排气管应当满足什么环境与条件?,"MATCH (device:设备与工具 {name: '柴油机排气管'})-[:应当]->(condition:环境与条件) RETURN device.name AS device_name, condition.name AS condition_name","[{'device_name': '柴油机排气管', 'condition_name': '无破损、无积炭'}]"
"{'start': '其出口', 'type': '不得', 'labels(a)': ['设备与工具'], 'labels(b)': ['环境与条件']}",其出口不得处于什么环境与条件?,"MATCH (exit:设备与工具 {name: '其出口'})-[:不得]->(condition:环境与条件) RETURN exit.name AS exit_name, condition.name AS condition_name","[{'exit_name': '其出口', 'condition_name': '指向循环罐'}, {'exit_name': '其出口', 'condition_name': '指向油罐区'}]"
"{'start': '其出口', 'type': '不得', 'labels(a)': ['设备与工具'], 'labels(b)': ['环境与条件']}",其出口不得处于什么环境与条件?,"MATCH (exit:设备与工具 {name: '其出口'})-[:不得]->(condition:环境与条件) RETURN exit.name AS exit_name, condition.name AS condition_name","[{'exit_name': '其出口', 'condition_name': '指向循环罐'}, {'exit_name': '其出口', 'condition_name': '指向油罐区'}]"
"{'start': '井场电气设备', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['环境与条件']}",井场电气设备应当满足什么环境与条件?,"MATCH (device:设备与工具 {name: '井场电气设备'})-[:应当]->(condition:环境与条件) RETURN device.name AS device_name, condition.name AS condition_name","[{'device_name': '井场电气设备', 'condition_name': '设保护接零或者保护接地'}]"
"{'start': '保护接地电阻', 'type': '应当', 'labels(a)': ['环境与条件'], 'labels(b)': ['法律法规']}",保护接地电阻应当符合什么环境与条件?,"MATCH (resistor:环境与条件 {name: '保护接地电阻'})-[:应当]->(law:法律法规) RETURN resistor.name AS resistor_name, law.name AS law_name","[{'resistor_name': '保护接地电阻', 'law_name': '小于4欧姆'}]"
"{'start': '井场电力线路', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['设备与工具']}",井场电力线路应当属于什么设备与工具?,"MATCH (line:设备与工具 {name: '井场电力线路'})-[:应当]->(device:设备与工具) RETURN line.name AS line_name, device.name AS device_name","[{'line_name': '井场电力线路', 'device_name': '电缆'}]"
"{'start': '井场电力线路', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['环境与条件']}",井场电力线路应当满足什么环境与条件?,"MATCH (line:设备与工具 {name: '井场电力线路'})-[:应当]->(condition:环境与条件) RETURN line.name AS line_name, condition.name AS condition_name","[{'line_name': '井场电力线路', 'condition_name': '架空架设'}]"
"{'start': '通道、设备处', 'type': '应当', 'labels(a)': ['环境与条件'], 'labels(b)': ['设备与工具']}",通道、设备处应当满足什么环境与条件?,"MATCH (location:环境与条件 {name: '通道、设备处'})-[:应当]->(condition:设备与工具) RETURN location.name AS location_name, condition.name AS condition_name","[{'location_name': '通道、设备处', 'condition_name': '增加防护套'}]"
"{'start': '井场电器安装技术要求', 'type': '应当', 'labels(a)': ['环境与条件'], 'labels(b)': ['法律法规']}",井场电器安装技术要求应当符合什么环境与条件?,"MATCH (requirement:环境与条件 {name: '井场电器安装技术要求'})-[:应当]->(rule:法律法规) RETURN requirement.name AS requirement_name, rule.name AS rule_name","[{'requirement_name': '井场电器安装技术要求', 'rule_name': '国家对井场电气安装技术的要求'}]"
"{'start': '煤层气企业安装、拆卸井架时，井架上下', 'type': '不得', 'labels(a)': ['环境与条件'], 'labels(b)': ['活动与作业']}",煤层气企业安装、拆卸井架时，井架上下不得参与什么活动与作业?,"MATCH (person:环境与条件)-[:不得]->(activity:活动与作业) RETURN person.name AS person_name, activity.name AS activity_name","[{'person_name': '煤层气企业安装、拆卸井架时，井架上下', 'activity_name': '同时作业'}, {'person_name': '测井施工现场不具备安全生产条件的', 'activity_name': '进行测井作业'}, {'person_name': '在井口装卸放射源或者其他仪器时', 'activity_name': '将工具放在转盘上'}, {'person_name': '大雾、雷雨、七级风以上（含七级）天气及夜间', 'activity_name': '进行射孔和井壁取心作业'}, {'person_name': '电潜泵停机时', 'activity_name': '带负荷拉闸'}, {'person_name': '电潜泵出现故障停机时，如未查明原因并排除故障', 'activity_name': '二次启动'}, {'person_name': '洗井期间，提升动力设备', 'activity_name': '熄火'}]"
"{'start': '施工现场', 'type': '应当', 'labels(a)': ['环境与条件'], 'labels(b)': ['环境与条件']}",施工现场应当满足什么环境与条件?,"MATCH (site:环境与条件 {name: '施工现场'})-[:应当]->(condition:环境与条件) RETURN site.name AS site_name, condition.name AS condition_name","[{'site_name': '施工现场', 'condition_name': '保持24小时畅通'}, {'site_name': '施工现场', 'condition_name': '有可靠的通信联络'}]"
"{'start': '施工现场', 'type': '应当', 'labels(a)': ['环境与条件'], 'labels(b)': ['环境与条件']}",施工现场应当满足什么环境与条件?,"MATCH (site:环境与条件 {name: '施工现场'})-[:应当]->(condition:环境与条件) RETURN site.name AS site_name, condition.name AS condition_name","[{'site_name': '施工现场', 'condition_name': '保持24小时畅通'}, {'site_name': '施工现场', 'condition_name': '有可靠的通信联络'}]"
"{'start': '煤层气企业安装井控装置时，放喷管线的布局', 'type': '应当', 'labels(a)': ['环境与条件'], 'labels(b)': ['环境与条件']}",煤层气企业安装井控装置时，放喷管线的布局应当满足什么环境与条件?,"MATCH (location:环境与条件 {name: '煤层气企业安装井控装置时，放喷管线的布局'})-[:应当]->(condition:环境与条件) RETURN location.name AS location_name, condition.name AS condition_name","[{'location_name': '煤层气企业安装井控装置时，放喷管线的布局', 'condition_name': '考虑当地季节风向、居民区、道路、油罐区、电力线及各种设施等情况。'}]"
"{'start': '钻进施工', 'type': '应当符合', 'labels(a)': ['活动与作业'], 'labels(b)': ['法律法规']}",钻进施工应当符合什么法律法规?,"MATCH (activity:活动与作业 {name: '钻进施工'})-[:应当符合]->(rule:法律法规) RETURN activity.name AS activity_name, rule.name AS rule_name","[{'activity_name': '钻进施工', 'rule_name': '符合国家标准、行业标准有关常规钻进安全技术的要求'}, {'activity_name': '钻进施工', 'rule_name': '一开、二开、钻目标煤层前等重要工序，由钻井监理进行全面的安全检查，经验收合格后方可作业'}, {'activity_name': '钻进施工', 'rule_name': '钻井队按照规定程序和操作规程进行操作，执行钻井作业设计中有关防火防爆的安全技术要求'}]"
"{'start': '钻进施工', 'type': '应当符合', 'labels(a)': ['活动与作业'], 'labels(b)': ['法律法规']}",钻进施工应当符合什么法律法规?,"MATCH (activity:活动与作业 {name: '钻进施工'})-[:应当符合]->(rule:法律法规) RETURN activity.name AS activity_name, rule.name AS rule_name","[{'activity_name': '钻进施工', 'rule_name': '符合国家标准、行业标准有关常规钻进安全技术的要求'}, {'activity_name': '钻进施工', 'rule_name': '一开、二开、钻目标煤层前等重要工序，由钻井监理进行全面的安全检查，经验收合格后方可作业'}, {'activity_name': '钻进施工', 'rule_name': '钻井队按照规定程序和操作规程进行操作，执行钻井作业设计中有关防火防爆的安全技术要求'}]"
"{'start': '钻进施工', 'type': '应当符合', 'labels(a)': ['活动与作业'], 'labels(b)': ['法律法规']}",钻进施工应当符合什么法律法规?,"MATCH (activity:活动与作业 {name: '钻进施工'})-[:应当符合]->(rule:法律法规) RETURN activity.name AS activity_name, rule.name AS rule_name","[{'activity_name': '钻进施工', 'rule_name': '符合国家标准、行业标准有关常规钻进安全技术的要求'}, {'activity_name': '钻进施工', 'rule_name': '一开、二开、钻目标煤层前等重要工序，由钻井监理进行全面的安全检查，经验收合格后方可作业'}, {'activity_name': '钻进施工', 'rule_name': '钻井队按照规定程序和操作规程进行操作，执行钻井作业设计中有关防火防爆的安全技术要求'}]"
"{'start': '钻进施工', 'type': '应当符合', 'labels(a)': ['活动与作业'], 'labels(b)': ['设备与工具']}",钻进施工应当符合什么设备与工具?,"MATCH (work:活动与作业 {name: '钻进施工'})-[:应当符合]->(tool:设备与工具) RETURN work.name AS work_name, tool.name AS tool_name","[{'work_name': '钻进施工', 'tool_name': '选择适当的钻井液'}]"
"{'start': '钻进施工中如出现异常情况', 'type': '应当', 'labels(a)': ['环境与条件'], 'labels(b)': ['安全管理']}",钻进施工中如出现异常情况应当如何处理?,"MATCH (condition:环境与条件)-[:应当]->(safety:安全管理) WHERE condition.name = '钻进施工中如出现异常情况' RETURN condition.name AS condition_name, safety.name AS safety_name","[{'condition_name': '钻进施工中如出现异常情况', 'safety_name': '及时采取应急措施，立即启动应急预案。'}]"
"{'start': '套管下放时', 'type': '需要', 'labels(a)': ['活动与作业'], 'labels(b)': ['安全管理']}",套管下放时需要什么安全管理?,"MATCH (activity:活动与作业 {name: '套管下放时'})-[:需要]->(safety:安全管理) RETURN activity.name AS activity_name, safety.name AS safety_name","[{'activity_name': '套管下放时', 'safety_name': '边下放边灌注钻井液，以免将浮鞋、浮箍压坏'}]"
"{'start': '下套管作业', 'type': '应当符合', 'labels(a)': ['活动与作业'], 'labels(b)': ['安全管理']}",下套管作业应当符合什么安全管理?,"MATCH (activity:活动与作业 {name: '下套管作业'})-[:应当符合]->(safety:安全管理) RETURN activity.name AS activity_name, safety.name AS safety_name","[{'activity_name': '下套管作业', 'safety_name': '套管串总重量不得大于钻机或者井架的提升能力，否则需采取相应的减重措施'}, {'activity_name': '下套管作业', 'safety_name': '套管上扣时推荐使用套管动力钳，下放套管时密切观察指重表读数变化并按程序操作，发现异常及时处理'}, {'activity_name': '下套管作业', 'safety_name': '吊套管上钻台，使用适当的钢丝绳，不得使用棕绳'}]"
"{'start': '下套管作业', 'type': '应当符合', 'labels(a)': ['活动与作业'], 'labels(b)': ['安全管理']}",下套管作业应当符合什么安全管理?,"MATCH (activity:活动与作业 {name: '下套管作业'})-[:应当符合]->(safety:安全管理) RETURN activity.name AS activity_name, safety.name AS safety_name","[{'activity_name': '下套管作业', 'safety_name': '套管串总重量不得大于钻机或者井架的提升能力，否则需采取相应的减重措施'}, {'activity_name': '下套管作业', 'safety_name': '套管上扣时推荐使用套管动力钳，下放套管时密切观察指重表读数变化并按程序操作，发现异常及时处理'}, {'activity_name': '下套管作业', 'safety_name': '吊套管上钻台，使用适当的钢丝绳，不得使用棕绳'}]"
